	Module	Duration	OS_CFG_DBG	OS_CFG_TESTS_ENABLE	OS_CFG_FBCAN1_ENABLE	OS_CFG_PROFILE	OS_CFG_SHELL_ENABLE	OS_CFG_SHELL_HISTLENGTH	OS_CFG_SHELL_REMOTE_ENABLE	CompilerState	Message
171	LightRing_1-2	27.902078975999757	true	true	false	false	true	0	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
172	LightRing_1-2	46.87101096200058	true	false	true	true	true	0	false		
173	LightRing_1-2	49.46654929200031	true	true	true	false	true	0	false		
174	LightRing_1-2	29.446762289999242	true	false	false	false	true	0	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
175	LightRing_1-2	28.58239764100017	true	false	false	true	false	0	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
176	LightRing_1-2	45.98526797900013	true	false	true	false	true	0	false		
177	LightRing_1-2	26.464411508999547	true	false	false	false	false	0	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
178	LightRing_1-2	40.60134463600025	true	false	true	true	false	0	false		
179	LightRing_1-2	38.9933980779997	true	false	true	false	false	0	false		
180	LightRing_1-2	29.231996597000034	true	true	false	true	true	3	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
181	LightRing_1-2	28.449872910000522	true	false	false	true	true	3	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
182	LightRing_1-2	49.201942663999944	true	true	true	true	true	3	false		
183	LightRing_1-2	28.583769243999996	true	true	false	false	true	3	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
184	LightRing_1-2	45.487285543000326	true	false	true	true	true	3	false		
185	LightRing_1-2	27.343503330999738	true	false	false	false	true	3	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
186	LightRing_1-2	49.58282668300035	true	true	true	false	true	3	false		
187	LightRing_1-2	26.751125515999775	true	false	false	true	false	3	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
188	LightRing_1-2	46.383562065999286	true	false	true	false	true	3	false		
189	NUCLEO-F103RB	24.32467090099999	true	true	true	true	true	0	true	error, error, error, error, error, error, error, error, warning, warning	"#error ""CAN_ENFORCE_USE_CALLBACKS must be TRUE when FBCAN is enbaled"", unknown type name 'CANRxFrame', unknown type name 'CANTxFrame', unknown type name 'CANDriver', unknown type name 'CANTxFrame', unknown type name 'CANTxFrame', unknown type name 'CANTxFrame', unknown type name 'CANConfig', implicit declaration of function 'canStart'; did you mean 'sdcanStart'?, implicit declaration of function 'canStop'; did you mean 'sdcanStop'?"
190	LightRing_1-2	40.399186986999666	true	false	true	true	false	3	false		
191	LightRing_1-2	26.909173822999946	true	false	false	false	false	3	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
192	NUCLEO-F103RB	24.495610475999456	true	false	true	true	true	0	true	error, error, error, error, error, error, error, error, warning, warning	"#error ""CAN_ENFORCE_USE_CALLBACKS must be TRUE when FBCAN is enbaled"", unknown type name 'CANRxFrame', unknown type name 'CANTxFrame', unknown type name 'CANDriver', unknown type name 'CANTxFrame', unknown type name 'CANTxFrame', unknown type name 'CANTxFrame', unknown type name 'CANConfig', implicit declaration of function 'canStart'; did you mean 'sdcanStart'?, implicit declaration of function 'canStop'; did you mean 'sdcanStop'?"
193	LightRing_1-2	38.00182214300003	true	false	true	false	false	3	false		
